TEST,GRADES,CLASS_RANK,y,label
9.25,6.96,8.07,1,Admitted
9.82,8.74,6.97,1,Admitted
3.86,1.76,2.84,0,Not Admitted
2.72,7.55,7.66,0,Not Admitted
3.7,6.48,2.78,0,Not Admitted
1.11,2.94,8.74,0,Not Admitted
8.34,1.29,2.49,0,Not Admitted
1.46,9.23,4.79,0,Not Admitted
2.79,9.0,2.66,1,Admitted
2.83,5.48,7.25,0,Not Admitted
1.05,9.23,2.56,1,Admitted
3.73,3.94,5.19,0,Not Admitted
7.09,1.58,8.45,0,Not Admitted
6.43,3.13,2.19,0,Not Admitted
2.49,4.74,7.88,0,Not Admitted
8.22,9.43,3.41,1,Admitted
2.61,3.22,4.66,0,Not Admitted
9.45,7.03,5.09,1,Admitted
6.93,7.85,5.03,1,Admitted
7.05,2.13,7.36,0,Not Admitted
5.19,7.37,9.09,0,Not Admitted
4.96,7.82,7.91,0,Not Admitted
6.76,2.18,4.17,0,Not Admitted
8.9,5.65,3.84,1,Admitted
3.41,1.7,3.63,0,Not Admitted
5.62,5.1,2.47,0,Not Admitted
1.4,6.92,4.04,0,Not Admitted
5.31,5.19,2.66,1,Admitted
9.24,3.84,7.8,0,Not Admitted
9.35,2.66,6.73,0,Not Admitted
2.39,3.7,2.65,0,Not Admitted
9.24,1.82,7.32,0,Not Admitted
5.87,3.42,6.23,1,Admitted
3.9,4.43,7.39,0,Not Admitted
3.76,8.46,9.35,0,Not Admitted
8.62,2.2,9.99,0,Not Admitted
9.3,5.83,8.48,0,Not Admitted
7.09,9.82,9.57,1,Admitted
3.03,6.75,8.91,0,Not Admitted
4.1,2.11,4.09,0,Not Admitted
4.49,8.96,5.44,1,Admitted
3.44,5.53,9.04,0,Not Admitted
5.85,2.88,8.76,0,Not Admitted
6.65,8.65,7.12,1,Admitted
6.17,1.14,4.4,0,Not Admitted
8.84,8.5,9.0,1,Admitted
2.73,6.77,4.39,0,Not Admitted
7.23,3.97,6.02,0,Not Admitted
8.39,6.69,7.37,1,Admitted
7.89,6.17,4.97,1,Admitted
8.89,4.49,1.61,1,Admitted
2.62,7.82,5.29,0,Not Admitted
7.1,7.23,6.47,0,Not Admitted
8.3,5.97,3.64,1,Admitted
3.16,8.6,3.75,1,Admitted
8.17,8.41,5.98,1,Admitted
5.01,9.04,7.1,0,Not Admitted
6.31,8.43,2.78,1,Admitted
6.64,6.02,3.51,1,Admitted
6.16,2.12,2.45,0,Not Admitted
8.13,2.93,4.56,0,Not Admitted
6.35,8.93,3.74,1,Admitted
8.87,8.2,1.51,1,Admitted
1.35,9.56,1.76,1,Admitted
9.57,2.11,7.01,0,Not Admitted
8.9,2.4,9.45,0,Not Admitted
8.69,7.48,1.24,1,Admitted
2.36,5.67,5.26,0,Not Admitted
3.91,4.38,7.17,0,Not Admitted
7.15,9.89,4.94,1,Admitted
4.25,6.58,4.39,0,Not Admitted
1.56,3.71,1.03,0,Not Admitted
8.77,5.08,5.03,1,Admitted
9.65,7.85,3.51,1,Admitted
9.81,7.99,5.45,1,Admitted
5.57,3.76,9.53,0,Not Admitted
4.7,1.3,3.6,0,Not Admitted
2.44,3.27,7.8,0,Not Admitted
4.42,7.55,3.82,1,Admitted
2.92,1.36,8.66,0,Not Admitted
2.01,6.07,7.58,0,Not Admitted
1.18,8.23,2.06,0,Not Admitted
6.1,6.79,8.62,0,Not Admitted
4.11,4.55,4.76,0,Not Admitted
1.03,7.77,6.25,0,Not Admitted
4.58,5.56,7.52,0,Not Admitted
9.64,4.68,4.49,1,Admitted
9.07,2.78,3.0,1,Admitted
1.53,4.91,8.96,0,Not Admitted
9.56,2.61,6.99,0,Not Admitted
9.53,3.04,8.35,0,Not Admitted
8.25,2.02,6.13,0,Not Admitted
5.71,8.43,7.91,0,Not Admitted
2.11,7.84,5.39,0,Not Admitted
8.29,7.92,9.66,1,Admitted
4.39,4.78,9.66,0,Not Admitted
6.5,1.59,6.72,0,Not Admitted
2.18,7.49,8.36,0,Not Admitted
6.66,3.81,1.14,1,Admitted
7.9,1.67,1.69,0,Not Admitted
2.94,4.41,5.2,0,Not Admitted
3.27,3.54,5.64,0,Not Admitted
3.7,2.66,7.93,0,Not Admitted
6.31,1.83,3.31,0,Not Admitted
5.54,2.45,6.78,0,Not Admitted
5.21,5.93,4.81,0,Not Admitted
2.02,6.37,7.18,0,Not Admitted
4.85,7.41,6.59,0,Not Admitted
